,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
401,28,male,2,own,,moderate,1887,18,business,good
625,35,male,2,own,,,1979,15,radio/TV,good
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
548,24,female,1,own,little,little,626,12,radio/TV,bad
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
409,28,male,2,own,quite rich,rich,939,12,car,bad
362,36,female,2,own,little,rich,2247,12,car,good
833,42,female,2,own,,moderate,5084,24,radio/TV,good
176,42,male,2,own,little,little,2577,12,furniture/equipment,good
687,30,male,2,free,moderate,moderate,2862,36,car,good
350,23,female,2,rent,little,,1236,9,domestic appliances,good
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
786,40,male,2,own,quite rich,,2675,22,radio/TV,good
667,27,female,2,own,little,,3609,48,business,good
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good
250,39,female,1,own,rich,little,666,6,car,good
338,28,male,2,own,little,little,4169,24,furniture/equipment,good
770,26,female,2,rent,,little,2812,24,car,good
314,29,male,1,own,,rich,1494,4,car,good
382,25,female,2,rent,,,1283,22,car,good
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
710,32,male,3,own,quite rich,,629,18,radio/TV,good
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
614,22,female,2,own,little,,1808,18,furniture/equipment,bad
497,40,male,2,own,little,,1585,24,furniture/equipment,good
927,39,male,2,free,little,little,10297,48,car,bad
38,37,male,2,own,little,rich,1225,10,domestic appliances,good
378,57,male,3,free,little,moderate,14318,36,car,bad
110,31,male,2,own,moderate,moderate,1449,6,business,good
280,23,male,2,rent,rich,,3368,15,car,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
450,30,male,3,own,,,11054,36,car,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good
168,25,female,2,rent,little,,3972,24,furniture/equipment,good
247,35,male,2,rent,moderate,,1204,6,car,good
104,26,male,2,rent,,,2445,12,car,good
238,35,female,2,own,little,,1291,12,radio/TV,good
877,28,male,2,own,little,,3595,36,radio/TV,good
809,26,female,0,rent,little,moderate,1778,15,car,bad
982,28,female,3,own,moderate,rich,2923,21,car,good
32,30,male,2,own,moderate,moderate,5866,18,car,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
821,24,male,2,own,little,rich,3016,12,radio/TV,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
234,42,male,1,own,little,,1544,4,radio/TV,good
999,27,male,2,own,moderate,moderate,4576,45,car,good
563,37,male,2,free,,moderate,12389,36,car,bad
990,37,male,1,own,,,3565,12,education,good
680,56,female,2,own,little,,1538,6,education,good
291,28,male,3,rent,little,moderate,9398,36,car,bad
854,45,male,2,own,little,,10875,36,car,good
278,32,female,2,own,little,,4611,6,furniture/equipment,bad
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
956,49,male,1,own,,rich,3656,30,radio/TV,good
984,30,male,1,own,little,,2028,24,furniture/equipment,good
736,23,female,3,rent,little,moderate,11560,24,car,bad
375,37,female,2,rent,little,little,7685,48,business,bad
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
762,24,male,1,own,little,little,2214,12,radio/TV,good
371,33,male,2,own,little,,6070,18,radio/TV,good
695,50,male,2,rent,quite rich,,1236,6,car,good
629,64,male,1,own,,,3832,9,education,good
25,36,male,1,own,little,little,1374,6,furniture/equipment,good
14,28,female,2,rent,little,little,1403,15,car,good
229,22,male,2,free,little,little,3149,24,furniture/equipment,good
60,27,male,2,own,little,moderate,1391,9,business,good
668,43,male,2,rent,little,little,4843,12,car,bad
492,27,female,2,own,moderate,,1237,6,radio/TV,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
433,33,male,2,own,little,,2058,24,repairs,good
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
63,25,male,2,own,little,moderate,14421,48,business,bad
600,45,female,2,own,little,moderate,2329,7,radio/TV,good
180,28,male,2,own,little,,9572,36,business,bad
717,32,male,3,free,little,,1505,18,radio/TV,good
249,22,female,2,rent,little,,433,18,radio/TV,bad
358,28,male,2,own,little,,776,12,radio/TV,good
128,34,male,3,own,little,moderate,1860,12,car,good
418,31,female,3,own,quite rich,,2782,21,car,good
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
638,34,female,2,own,little,,1493,12,radio/TV,good
201,27,male,1,own,little,little,1168,12,car,good
724,21,female,2,rent,little,,2570,27,car,bad
800,54,male,2,free,little,,1597,24,education,good
451,29,female,2,own,little,,518,6,radio/TV,good
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
577,33,female,2,own,,,1927,24,education,good
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
87,47,male,2,free,moderate,moderate,12612,36,education,bad
812,24,male,2,own,little,little,9629,36,car,bad
938,42,male,2,free,little,moderate,6288,60,education,bad
572,26,female,3,rent,,,5433,24,car,good
455,29,female,3,own,little,,2679,24,car,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
804,24,female,0,rent,,moderate,7472,12,car,good
276,26,female,2,own,little,,2404,18,radio/TV,good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
471,23,female,2,own,little,little,448,6,education,bad
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
67,22,male,2,own,rich,moderate,1007,12,car,good
685,34,male,2,free,,,6527,60,car,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
65,48,male,2,own,,,5190,27,repairs,good
297,45,male,1,own,,,1287,10,car,good
36,31,male,2,free,little,,6110,48,education,good
274,34,male,1,own,little,little,11998,30,repairs,bad
472,28,male,1,own,little,little,654,9,car,bad
962,29,male,2,own,,,3556,15,car,good
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
775,25,female,2,rent,,little,1371,24,car,bad
898,33,female,1,rent,,,2186,15,furniture/equipment,good
989,48,male,1,own,little,moderate,1743,24,radio/TV,good
824,35,male,3,own,little,,3780,18,furniture/equipment,good
460,37,male,2,own,little,little,3620,36,furniture/equipment,good
560,49,male,2,free,,little,2964,24,car,good
817,24,female,2,rent,little,,1554,6,radio/TV,good
895,31,male,3,own,,,8947,36,car,good
732,44,female,1,own,little,moderate,760,8,radio/TV,good
480,23,female,1,own,little,moderate,3573,12,radio/TV,good
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
993,30,male,3,own,little,little,3959,36,furniture/equipment,good
612,29,female,2,own,rich,little,3357,21,radio/TV,good
520,44,male,2,free,little,,5507,24,repairs,good
705,35,female,2,free,quite rich,,5324,15,car,good
410,20,female,2,own,little,moderate,1967,24,radio/TV,good
337,24,female,2,rent,,little,1275,15,domestic appliances,bad
75,66,male,3,free,little,little,1526,12,car,good
493,38,male,2,own,,moderate,368,6,radio/TV,good
